Cortical thickness;Structure;d_icv;se_icv;low_ci_icv;up_ci_icv;n_controls;n_patients;pobs;fdr_p;;
AgevsCortThick;L_bankssts_thickavg;-0.176;;;;;;0.1348;;;
AgevsCortThick;L_caudalanteriorcingulate_thickavg;0.073;;;;;;0.0002;;;
AgevsCortThick;L_caudalmiddlefrontal_thickavg;-0.163;;;;;;0.5413;;;
AgevsCortThick;L_cuneus_thickavg;-0.11;;;;;;0.0025;;;
AgevsCortThick;L_entorhinal_thickavg;-0.198;;;;;;0.7225;;;
AgevsCortThick;L_fusiform_thickavg;-0.173;;;;;;0.1722;;;
AgevsCortThick;L_inferiorparietal_thickavg;-0.263;;;;;;0.2081;;;
AgevsCortThick;L_inferiortemporal_thickavg;-0.092;;;;;;0.0449;;;
AgevsCortThick;L_isthmuscingulate_thickavg;-0.147;;;;;;0.5258;;;
AgevsCortThick;L_lateraloccipital_thickavg;-0.233;;;;;;0.2683;;;
AgevsCortThick;L_lateralorbitofrontal_thickavg;-0.146;;;;;;0.6571;;;
AgevsCortThick;L_lingual_thickavg;-0.224;;;;;;0.5093;;;
AgevsCortThick;L_medialorbitofrontal_thickavg;-0.067;;;;;;0.9359;;;
AgevsCortThick;L_middletemporal_thickavg;-0.227;;;;;;0.0033;;;
AgevsCortThick;L_parahippocampal_thickavg;-0.129;;;;;;0.2011;;;
AgevsCortThick;L_paracentral_thickavg;-0.198;;;;;;0.1578;;;
AgevsCortThick;L_parsopercularis_thickavg;-0.164;;;;;;0.4775;;;
AgevsCortThick;L_parsorbitalis_thickavg;-0.093;;;;;;0.0847;;;
AgevsCortThick;L_parstriangularis_thickavg;-0.109;;;;;;0.3120;;;
AgevsCortThick;L_pericalcarine_thickavg;-0.122;;;;;;0.1714;;;
AgevsCortThick;L_postcentral_thickavg;-0.226;;;;;;0.0441;;;
AgevsCortThick;L_posteriorcingulate_thickavg;-0.083;;;;;;0.0227;;;
AgevsCortThick;L_precentral_thickavg;-0.321;;;;;;0;;;
AgevsCortThick;L_precuneus_thickavg;-0.294;;;;;;0.7903;;;
AgevsCortThick;L_rostralanteriorcingulate_thickavg;0.032;;;;;;0.0664;;;
AgevsCortThick;L_rostralmiddlefrontal_thickavg;-0.092;;;;;;0.5133;;;
AgevsCortThick;L_superiorfrontal_thickavg;-0.239;;;;;;0.6952;;;
AgevsCortThick;L_superiorparietal_thickavg;-0.266;;;;;;0.9745;;;
AgevsCortThick;L_superiortemporal_thickavg;-0.37;;;;;;0.0815;;;
AgevsCortThick;L_supramarginal_thickavg;-0.269;;;;;;0.3212;;;
AgevsCortThick;L_frontalpole_thickavg;-0.02;;;;;;0.0005;;;
AgevsCortThick;L_temporalpole_thickavg;-0.135;;;;;;0.0379;;;
AgevsCortThick;L_transversetemporal_thickavg;-0.169;;;;;;0.6329;;;
AgevsCortThick;L_insula_thickavg;-0.165;;;;;;0.3535;;;
AgevsCortThick;R_bankssts_thickavg;-0.195;;;;;;0.2366;;;
AgevsCortThick;R_caudalanteriorcingulate_thickavg;0.09;;;;;;0.0001;;;
AgevsCortThick;R_caudalmiddlefrontal_thickavg;-0.186;;;;;;0.8999;;;
AgevsCortThick;R_cuneus_thickavg;-0.145;;;;;;0.0112;;;
AgevsCortThick;R_entorhinal_thickavg;-0.212;;;;;;0.1436;;;
AgevsCortThick;R_fusiform_thickavg;-0.235;;;;;;0.0303;;;
AgevsCortThick;R_inferiorparietal_thickavg;-0.255;;;;;;0.1918;;;
AgevsCortThick;R_inferiortemporal_thickavg;-0.153;;;;;;0.0857;;;
AgevsCortThick;R_isthmuscingulate_thickavg;-0.11;;;;;;0.0196;;;
AgevsCortThick;R_lateraloccipital_thickavg;-0.254;;;;;;0.8078;;;
AgevsCortThick;R_lateralorbitofrontal_thickavg;-0.017;;;;;;0.0027;;;
AgevsCortThick;R_lingual_thickavg;-0.192;;;;;;0.1938;;;
AgevsCortThick;R_medialorbitofrontal_thickavg;0.032;;;;;;0.0545;;;
AgevsCortThick;R_middletemporal_thickavg;-0.168;;;;;;0.0009;;;
AgevsCortThick;R_parahippocampal_thickavg;-0.127;;;;;;0.3844;;;
AgevsCortThick;R_paracentral_thickavg;-0.227;;;;;;0.0248;;;
AgevsCortThick;R_parsopercularis_thickavg;-0.113;;;;;;0.6346;;;
AgevsCortThick;R_parsorbitalis_thickavg;-0.054;;;;;;0.0043;;;
AgevsCortThick;R_parstriangularis_thickavg;-0.078;;;;;;0.4239;;;
AgevsCortThick;R_pericalcarine_thickavg;-0.125;;;;;;0.0415;;;
AgevsCortThick;R_postcentral_thickavg;-0.245;;;;;;0.3740;;;
AgevsCortThick;R_posteriorcingulate_thickavg;-0.058;;;;;;0.0076;;;
AgevsCortThick;R_precentral_thickavg;-0.304;;;;;;0.0000;;;
AgevsCortThick;R_precuneus_thickavg;-0.307;;;;;;0.6332;;;
AgevsCortThick;R_rostralanteriorcingulate_thickavg;0.104;;;;;;0.0376;;;
AgevsCortThick;R_rostralmiddlefrontal_thickavg;-0.023;;;;;;0.2797;;;
AgevsCortThick;R_superiorfrontal_thickavg;-0.189;;;;;;0.6076;;;
AgevsCortThick;R_superiorparietal_thickavg;-0.239;;;;;;0.7408;;;
AgevsCortThick;R_superiortemporal_thickavg;-0.357;;;;;;0.0476;;;
AgevsCortThick;R_supramarginal_thickavg;-0.277;;;;;;0.0463;;;
AgevsCortThick;R_frontalpole_thickavg;-0.025;;;;;;0.0515;;;
AgevsCortThick;R_temporalpole_thickavg;-0.208;;;;;;0.0013;;;
AgevsCortThick;R_transversetemporal_thickavg;-0.157;;;;;;0.0427;;;
AgevsCortThick;R_insula_thickavg;-0.199;;;;;;0.1187;;;
